Arches terminology,Universal terminology,User form,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
,Necessity,Necessity,Mandatory,Strongly recommended,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Optional,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Strongly recommended,Mandatory,Mandatory if (Is Digitised?),Mandatory if (Is Digitised?),Mandatory,Mandatory if (Is Georeferenced?),Mandatory if (Is Georeferenced?),Strongly recommended,Mandatory if (Is Clipped?),Mandatory if (Is Clipped?),Mandatory,Mandatory,Optional,Optional,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Optional,Mandatory,Mandatory,Mandatory,Mandatory
,Cardinality,Cardinality,1,0..n,1..n,1,1,1,1,1..n,0..1,0..1,1,0..1,0..1,1,1,1,1,1,0..1,1..n,1,1,0..1,0..1,0..1,0..1,0..1,0..1,1,0..1,1,1..n,1,1,1..n,1,1,1..n,1,1,1,0..1,0..1,1..n,1,1,1,1,1..n,0..1,1,1,1,1
,Dublin Core Equivalent,Dublin Core Equivalent,dcterms:identifier,dcterms:identifier,dcterms:spatial,dcterms:title,dcterms:identifier,dcterms:relation,dcterms:hasVersion,dcterms:format,dcterms:format,dcterms:extent,dcterms:type,No direct equivalent,dcterms:description,dcterms:identifier,No direct equivalent,dcterms:location,dcterms:publisher,dcterms:date,dcterms:provenance,No direct equivalent,No direct equivalent,No direct equivalent,dcterms:format,No direct equivalent,No direct equivalent,No direct equivalent,No direct equivalent,No direct equivalent,No direct equivalent,dcterms:description,No direct equivalent,dcterms:contributor,dcterms:date,No direct equivalent,dcterms:contributor,dcterms:date,No direct equivalent,dcterms:contributor,dcterms:date,dcterms:format,dcterms:format,dcterms:format,dcterms:extent,dcterms:contributor,dcterms:description,dcterms:created,dcterms:license,dcterms:accessRights,dcterms:rightsHolder,dcterms:rights,dcterms:bibliographicCitation,,dcterms:dateSubmitted,dcterms:modified
,Operational Info,Operational Info,Primary Key,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Foreign Key,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Auto-Populated,N/A,N/A,Foreign Key,N/A,Auto-Populated,Auto-Populated,Auto-Populated,Auto-Populated
MAEASaM Scope Note (En),Definition (En),Definition (En),Unique ID given to each resource entered. Must be formatted as Country code-MAP-###### (six digit id). KEN-MAP-000001.,"Local identifier used to describe the map, such as a research institute catalogue number, inventory number, or other local reference.","ISO 3166-1 alpha-3 country code (2009 revision). Please write the term code exactly as recorded in the ""Countries"" controlled vocabulary.",A name used to identify the map resource.,"A code used to identify a specific map sheet within a series, collection, or catalogue. It is generally written on the map.",The series or map series to which the resource belongs. It is generally written on the map.,The edition or version of the map as stated on the resource. It is generally written on the map.,"Numerical scale value of the map. It is generally written on the map. It should be expressed as a fractional scale, such as 1:50,000.",The physical material or support on which the original map is recorded.,The physical dimensions of the original map or map sheet.,"Type of map, following to MAEASaM controlled vocabulary. Please write the term exactly as recorded in the ""Map Types"" controlled vocabulary.","The physical condition of the original map at the time of recording. Please write the term exactly as recorded in the """"Document Conditions controlled vocabulary.",A free-text description providing additional information about the map resource that is not captured by other metadata fields.,The name of the digital file representing the map resource.,The storage path or location of the digital file within the repository or file system.,"The physical location where the original map or physical file is held, such as an archive, room, shelf, or box.",The person or organisation responsible for publishing the map. It is generally written on the map. ,"The date in which the map was published or issued. It is generally written on the map. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.","Information about the history, revisions, changes, or provenance of the map sheet. It is generally written on the map. ","Matching MAEASaM grid of the map. Please write the MAEASaM ID of the relevant record from the ""GRID Model"" resource instance such as ""GRID-000016993"".",The cartographic projection used to represent the mapped area. It is generally written on the map. ,The reference spheroid or ellipsoid used by the map’s coordinate reference system. It is generally written on the map. ,The unit of measurement used by the map or its coordinate reference system. It is generally written on the map. ,The central meridian used by the map’s coordinate reference system. It is generally written on the map. ,The latitude of origin used by the map’s coordinate reference system. It is generally written on the map. ,The scale factor used by the map’s coordinate reference system. It is generally written on the map. ,The false easting and/or false northing values used by the map’s coordinate reference system. It is generally written on the map. ,The false coordinate values associated with the origin of the map’s coordinate reference system. It is generally written on the map.,The geodetic datum used by the map’s coordinate reference system. It is generally written on the map.,"Text, labels, symbols, or other annotations shown on the original map.","Indicates whether the digitisation of the map has been completed. Please enter either ""Yes"" or ""No"" as the value.",The person or people responsible for the digitisation process.,"Date on which the digitisation process was completed. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.","Indicates whether the georeferencing of the digital map has been completed. Please enter either ""Yes"" or ""No"" as the value.",The person or people responsible for georeferencing the digital map.,"Date on which georeferencing of the digital map was completed. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.","Indicates whether the digital map has been clipped or cropped as part of digital processing. Please enter either ""Yes"" or ""No"" as the value.",The person or people responsible for clipping or cropping the digital map.,"Date on which clipping or cropping of the digital map was completed. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.","The method used to create the digital representation of the original map, such as scanning or photography. Please write the term exactly as recorded in the ""Digitisation Methods"" controlled vocabulary.","The scanner, camera, or other recording equipment used to create the digital representation.",Information about the colour characteristics or colour depth of the digital file.,"The resolution of the digital file, such as spatial resolution or scanning resolution, as applicable.",Cataloguer,Additional information or remarks relevant to the resource or its metadata.,"The date and time when the resource record was created in the system. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.","The licence under which the digital resource may be used or reused. Please write the term exactly as recorded in the ""Licences"" controlled vocabulary.","The level of access permitted for the digital resource. Please write the term exactly as recorded in the ""Access Levels"" controlled vocabulary.","The person or organisation holding or managing rights associated with the resource. Please write the MAEASaM ID of the relevant record from the ""Actor"" resource instance.","Additional information about rights, permissions, restrictions, or copyright status that is not captured by the other rights and access fields.",The recommended citation to use when referring to or reusing the resource. This field is automatically populated by the system. Leave this field blank,The name of the individual that uplaoded the grid square instance ot Arches. This is a required field,The date and time when the resource was uploaded to the system.  This field is automatically populated by the system. Leave this field blank,The date and time when the resource record was last modified. This field is automatically populated by the system. Leave this field blank
,Input Instructions (En),Input Instructions (En),Please enter the information as free text.,Please enter the information as free text.,"Please write the term exactly as recorded in the ""Countries (cv)"" controlled vocabulary.",Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,"Please write the term exactly as recorded in the ""Map Types (cv)"" controlled vocabulary.","Please write the term exactly as recorded in the ""Document Conditions (cv)"" controlled vocabulary.",Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification for guidance: https://www.loc.gov/standards/datetime/,Please enter the information as free text.,"Please write the MAEASaM ID of the relevant record from the ""Grids (rm)"" resource instance.",Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,"Please enter either ""Yes"" or ""No"" as the value.",Please enter the information as free text.,Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification for guidance: https://www.loc.gov/standards/datetime/,"Please enter either ""Yes"" or ""No"" as the value.",Please enter the information as free text.,Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification for guidance: https://www.loc.gov/standards/datetime/,"Please enter either ""Yes"" or ""No"" as the value.",Please enter the information as free text.,Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification for guidance: https://www.loc.gov/standards/datetime/,"Please write the term exactly as recorded in the ""Digitisation Methods (cv)"" controlled vocabulary.",Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,This field is automatically populated by the system. Leave this field blank.,"Please write the term exactly as recorded in the ""Licences (cv)"" controlled vocabulary.","Please write the term exactly as recorded in the ""Access Levels (cv)"" controlled vocabulary.","Please write the MAEASaM ID of the relevant record from the ""Actor (rm)"" resource instance.",Please enter the information as free text.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.
MAEASaM Scope Note (Fr),Definition (Fr),Definition (Fr),Identifiant unique attribué à chaque ressource saisie.,,,La valeur du nom désigne un nom unique correspondant à la chronologie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAEASaM Scope  Note (Ar),Definition (Ar),Definition (Ar),معرّف فريد يُمنح لكل مورد يتم إدخاله.,المعرّف المحلي المستخدم لوصف الخريطة، مثل رقم الفهرس أو رقم الجرد الخاص بمعهد أو مؤسسة بحثية.,رموز الدول المكوّنة من ثلاثة أحرف وفق معيار ISO 3166-1 alpha-3، مراجعة 2009.,اسم فريد يُستخدم لتعريف مورد الخريطة.,رمز يُستخدم لتحديد ورقة خريطة محددة ضمن سلسلة أو مجموعة أو فهرس.,السلسلة أو سلسلة الخرائط التي ينتمي إليها المورد.,طبعة الخريطة أو نسختها كما هو مذكور في المورد.,القيمة العددية لمقياس رسم الخريطة.,المادة المادية أو الحامل الذي سُجّلت عليه الخريطة الأصلية.,الأبعاد المادية للخريطة الأصلية أو ورقة الخريطة.,,الحالة المادية للخريطة الأصلية وقت تسجيلها.,وصف حر يقدّم معلومات إضافية عن مورد الخريطة لا تغطيها حقول البيانات الوصفية الأخرى.,اسم الملف الرقمي الذي يمثل مورد الخريطة.,مسار تخزين الملف الرقمي أو موقعه داخل المستودع أو نظام الملفات.,الموقع المادي الذي تُحفظ فيه الخريطة الأصلية أو الملف المادي، مثل الأرشيف أو الغرفة أو الرف أو الصندوق.,الشخص أو المؤسسة المسؤولة عن نشر الخريطة.,السنة التي نُشرت أو أُصدرت فيها الخريطة.,معلومات عن تاريخ ورقة الخريطة أو تنقيحاتها أو تغييراتها أو مصدرها.,شبكة الخريطة أو نظام مرجع الشبكة المُمثّل على الخريطة.,الإسقاط الخرائطي المستخدم لتمثيل المنطقة المرسومة.,الكرة الإهليلجية أو الإهليلج المرجعي المستخدم في نظام الإحداثيات المرجعي للخريطة.,وحدة القياس المستخدمة في الخريطة أو نظام الإحداثيات المرجعي الخاص بها.,خط الزوال المركزي المستخدم في نظام الإحداثيات المرجعي للخريطة.,دائرة العرض الأصلية المستخدمة في نظام الإحداثيات المرجعي للخريطة.,معامل مقياس الرسم المستخدم في نظام الإحداثيات المرجعي للخريطة.,قيم الإحداثي الشرقي الكاذب و/أو الإحداثي الشمالي الكاذب المستخدمة في نظام الإحداثيات المرجعي للخريطة.,قيم الإحداثيات الكاذبة المرتبطة بأصل نظام الإحداثيات المرجعي للخريطة.,المرجع الجيوديسي المستخدم في نظام الإحداثيات المرجعي للخريطة.,النصوص أو التسميات أو الرموز أو غيرها من التعليقات التوضيحية الظاهرة على الخريطة الأصلية.,يشير إلى ما إذا كانت عملية التحويل الرقمي للخريطة قد اكتملت.,الشخص أو الأشخاص المسؤولون عن عملية الرقمنة.,تاريخ اكتمال عملية الرقمنة.,يشير إلى ما إذا كانت عملية الإسناد الجغرافي للخريطة الرقمية قد اكتملت.,الشخص أو الأشخاص المسؤولون عن عملية الإسناد الجغرافي.,تاريخ اكتمال عملية الإسناد الجغرافي للخريطة الرقمية.,يشير إلى ما إذا كانت الخريطة الرقمية قد قُصّت أو حُدّدت حدودها كجزء من المعالجة الرقمية.,الشخص أو الأشخاص المسؤولون عن قص الخريطة الرقمية أو تحديد حدودها.,تاريخ اكتمال عملية القص أو تحديد الحدود.,الطريقة المستخدمة لإنشاء التمثيل الرقمي للخريطة الأصلية، مثل المسح الضوئي أو التصوير.,الماسح الضوئي أو الكاميرا أو غيرها من معدات التسجيل المستخدمة لإنشاء التمثيل الرقمي.,معلومات عن خصائص الألوان أو عمق الألوان للملف الرقمي.,دقة الملف الرقمي، مثل الدقة المكانية أو دقة المسح الضوئي، حسب الاقتضاء.,المفهرس أو الشخص المسؤول عن تسجيل البيانات الوصفية.,معلومات أو ملاحظات إضافية ذات صلة بالمورد أو بياناته الوصفية.,التاريخ والوقت الذي أُنشئ فيه سجل المورد في النظام.,الترخيص الذي يمكن بموجبه استخدام المورد الرقمي أو إعادة استخدامه.,مستوى الوصول المسموح به إلى المورد الرقمي.,الشخص أو المؤسسة التي تملك أو تدير الحقوق المرتبطة بالمورد.,معلومات إضافية عن الحقوق أو الأذونات أو القيود أو حالة حقوق الطبع والنشر التي لا تغطيها حقول الحقوق والوصول الأخرى.,الاستشهاد الموصى باستخدامه عند الإشارة إلى المورد أو إعادة استخدامه.,الشخص الذي رفع المورد إلى النظام.,التاريخ والوقت الذي رُفع فيه المورد إلى النظام.,التاريخ والوقت الذي عُدّل فيه سجل المورد آخر مرة.
MAEASaM Scope  Note (Pt),Definition (Pt),Definition (Pt),Identificador único atribuído a cada recurso inserido.,"Identificador local utilizado para descrever o mapa, como o número de catálogo ou de inventário de um instituto ou organização de pesquisa.","Códigos de países de três letras segundo a norma ISO 3166-1 alpha-3, revisão de 2009.",Nome exclusivo utilizado para identificar o recurso cartográfico.,"Código utilizado para identificar uma folha específica do mapa dentro de uma série, coleção ou catálogo.",A série ou série cartográfica à qual o recurso pertence.,A edição ou versão do mapa conforme indicada no recurso.,Valor numérico da escala do mapa.,Material físico ou suporte no qual o mapa original está registrado.,Dimensões físicas do mapa original ou da folha do mapa.,,Condição física do mapa original no momento do registro.,Descrição em texto livre que fornece informações adicionais sobre o recurso cartográfico não contempladas pelos outros campos de metadados.,Nome do arquivo digital que representa o recurso cartográfico.,Caminho ou localização de armazenamento do arquivo digital dentro do repositório ou sistema de arquivos.,"Local físico onde o mapa original ou arquivo físico é mantido, como arquivo, sala, estante ou caixa.",Pessoa ou organização responsável pela publicação do mapa.,Ano em que o mapa foi publicado ou emitido.,"Informações sobre o histórico, revisões, alterações ou proveniência da folha do mapa.",Grade cartográfica ou sistema de referência de grade representado no mapa.,Projeção cartográfica utilizada para representar a área mapeada.,Esferoide ou elipsoide de referência utilizado pelo sistema de referência de coordenadas do mapa.,Unidade de medida utilizada pelo mapa ou pelo seu sistema de referência de coordenadas.,Meridiano central utilizado pelo sistema de referência de coordenadas do mapa.,Latitude de origem utilizada pelo sistema de referência de coordenadas do mapa.,Fator de escala utilizado pelo sistema de referência de coordenadas do mapa.,Valores de falso leste e/ou falso norte utilizados pelo sistema de referência de coordenadas do mapa.,Valores de coordenadas falsas associados à origem do sistema de referência de coordenadas do mapa.,Datum geodésico utilizado pelo sistema de referência de coordenadas do mapa.,"Textos, rótulos, símbolos ou outras anotações apresentados no mapa original.",Indica se o processo de transformação digital do mapa foi concluído.,Pessoa ou pessoas responsáveis pelo processo de digitalização.,Data de conclusão do processo de digitalização.,Indica se o processo de georreferenciamento do mapa digital foi concluído.,Pessoa ou pessoas responsáveis pelo georreferenciamento.,Data de conclusão do georreferenciamento do mapa digital.,Indica se o mapa digital foi recortado como parte do processamento digital.,Pessoa ou pessoas responsáveis pelo recorte do mapa digital.,Data de conclusão do recorte do mapa digital.,"Método utilizado para criar a representação digital do mapa original, como digitalização por scanner ou fotografia.","Scanner, câmera ou outro equipamento de registro utilizado para criar a representação digital.",Informações sobre as características de cor ou profundidade de cor do arquivo digital.,"Resolução do arquivo digital, como resolução espacial ou resolução de digitalização, conforme aplicável.",Catalogador ou pessoa responsável pelo registro dos metadados.,Informações ou observações adicionais relevantes para o recurso ou seus metadados.,Data e hora em que o registro do recurso foi criado no sistema.,Licença sob a qual o recurso digital pode ser utilizado ou reutilizado.,Nível de acesso permitido ao recurso digital.,Pessoa ou organização que detém ou administra os direitos associados ao recurso.,"Informações adicionais sobre direitos, permissões, restrições ou situação de direitos autorais que não sejam contempladas pelos outros campos de direitos e acesso.",Citação recomendada para fazer referência ao recurso ou reutilizá-lo.,Pessoa que enviou o recurso para o sistema.,Data e hora em que o recurso foi enviado para o sistema.,Data e hora em que o registro do recurso foi modificado pela última vez.
Example 1,Example 1,Example 1,KEN-MAP-000001,122_4_ISHIARA,KEN,ISHIARA,122/4,Y731,8-SK,1:50000,Paper,Not written,Modern,Good,,KEN_MAP_000001.jpg,path/to/folder/KEN_MAP_000001.jpg,"BIAE Office, 3rd Floor, Map Archives, Shelf 4",Survey of Kenya,1976,"Edition I constructed, drawn and photographed by Directorate of Overseas Survey, 1953 (D.C.S. 423)., Field Survey Data supplied by Survey of Kenya and D.O.S., Air Photography by R.A.F. January-March 1948.",,Transverse Mercator,Clarke 1880 (Modified),Metre,39 00` East of Greenwich,Equator,0.9996,,"5000000m Easting, 10000000m Northing",New (1960) Arc,,Yes,Orhun Ugur,2026-08-27,No,N/A,N/A,No,N/A,N/A,Scanner,CONTEX HD5450,RGB 24 BIT,600 DPI,Orhun Ugur,,2026-09-01,CC BY-SA,Open access,MAEASAM-ACT-00000072,,This field is automatically populated by the system. Leave this field blank,MAEASAM-ACT-00000056,This field is automatically populated by the system. Leave this field blank,This field is automatically populated by the system. Leave this field blank
