Arches terminology,Universal terminology,User form,,,,,,,,,,,,
MAEASaM Scope Note 2: fr,Definition (fr),Definition (fr),Identifiant unique attribué à chaque ressource saisie.,,,,,,,,,,,
MAEASaM Scope Note 2: ar,Definition (ar),Definition (ar),,,,,,,,,,,,
MAEASaM Scope Note 2: pt,Definition (pt),Definition (pt),,,,,,,,,,,,
Example 1,Example 1,Example 1,ADMN-ZWE-000000001,Zimbabwe,Primary name,,Zimbabwe,Level 0,,Remember to avoid special characters as far as possible.,Remember to avoid special characters as far as possible.,Renier Hendrik van der Merwe,2026-03-03,2026-03-03
Example 2,Example 2,Example 2,ADMN-ZWE-000000002,Bulawayo,Primary name,ADMN-ZWE-000000001,Zimbabwe,Level 1,,Remember to avoid special characters as far as possible.,Remember to avoid special characters as far as possible.,Renier Hendrik van der Merwe,2026-03-03,2026-03-03
,,,,,,,,,,,,,,
,Data Type Legend,,Country ,Code (ISO 3166-1 alpha-3),,Language,Code (ISO 639-1),,,,,,,
,String,,Benin,BEN,,English,en,,,,,,,
,Semantic,,Botswana,BWA,,French,fr,,,,,,,
,GeoJSON-feature-collection,,Democratic Republic of the Congo,COD,,Arabic,ar,,,,,,,
,Date/EDTF,,Ethiopia,ETH,,Portugeuse,pt,,,,,,,
,Resource-Instance-List,,Ghana,GHA,,,,,,,,,,
,Number,,Guinea-Bissau,GNB,,,,,,,,,,
,Concept-list,,Kenya,KEN,,,,,,,,,,
,Node,,Mali,MLI,,,,,,,,,,
,URL,,Mozambique,MOZ,,,,,,,,,,
,Boolean,,Nigeria,NGA,,,,,,,,,,
,File-list,,Senegal,SEN,,,,,,,,,,
,,,Sudan,SDN,,,,,,,,,,
,,,Tanzania,TZA,,,,,,,,,,
,,,The Gambia,GMB,,,,,,,,,,
,,,Togo,TGO,,,,,,,,,,
,,,Zimbabwe,ZWE,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Abbreviation,Meaning,,,,,,,,,,
,,,cv,Concept-list,,,,,,,,,,
,,,rm,Resource model,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
