Arches terminology,Universal terminology,User form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM Semantic Node Class,CIDOC CRM Semantic Node Class,,E42 Identifier,E7 Activity,E50 Date,E82,,,E53 Place,,,,,,,,E4 Period,E16 Measurement,,,,E41 Appellation,,E41 Appellation,E55,,,E17 Type Assignment,,,,,,,,,,,E17 Type Assignment,,,,,,,,,,,,,E62 String,,,,,,,,,,,,,,
CIDOC CRM Node Class,CIDOC CRM Node Class,,E42 Identifier,E7 Activity,E50 Date,E82 Actor Appellation,,E55 Type,E26 Physical Feature,E53 Place,E17 Type Assignment,E55 Type,E7 Activity,E55 Type,E55 Type,E27 Site,E4 Period,E58 Measurement Unit,,E16 Measurement,E53 Place,E53 Place,E41 Appellation,E41 Appellation,E55 Type,E55 Type,E50 Date,E39 Actor,E55 Type,E50 Date,E16 Measurement,E3 Condition State,E50 Date,E39 Actor,E50 Date,E55 Type,E55 Type,E55 Type,,E17 Type Assignment,E62 String,,E50 Date,E39 Actor,E50 Date,,E55 Type,E17 Type Assignment,E17 Type Assignment,E62 String,E62 String,E62 String,,,,,,E50 Date,E50 Date,E82 Actor Appellation,E62 String,,,,,
Dublin Core Equivalent,,,http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/type,http://purl.org/dc/terms/date,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/spatial,http://purl.org/dc/terms/spatial,http://purl.org/dc/terms/description,N/A,http://purl.org/dc/terms/description,N/A,N/A,N/A,N/A,http://purl.org/dc/terms/relation,http://purl.org/dc/terms/temporal,N/A,N/A,N/A,http://purl.org/dc/terms/relation,N/A,N/A,N/A,N/A,http://purl.org/dc/terms/description,http://purl.org/dc/terms/date,http://purl.org/dc/terms/contributor,N/A,http://purl.org/dc/terms/date,N/A,N/A,http://purl.org/dc/terms/date,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/date,http://purl.org/dc/terms/description,http://purl.org/dc/terms/description,http://purl.org/dc/terms/description,N/A,N/A,N/A,http://purl.org/dc/terms/description,http://purl.org/dc/terms/date,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/date,N/A,N/A,N/A,N/A,http://purl.org/dc/terms/description,http://purl.org/dc/terms/description,http://purl.org/dc/terms/description,,,,,,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/modified,http://purl.org/dc/terms/contributor,N/A,,,,,
Operational Info,,,Primary Key,N/A,N/A,Foreign Key,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Foreign Key,Foreign Key,N/A,N/A,N/A,Foreign Key,N/A,Derived,Derived,Derived,N/A,N/A,Foreign Key,N/A,N/A,N/A,N/A,N/A,Foreign Key,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Foreign Key,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Foreign Key,Auto-Populated,Foreign Key,Auto-Populated,,,,,
MAEASaM Scope Note (En),Definition (En),Definition (En),"A unique ID is given to each resource entered. Every resource must have exactly one unique MAEASaM ID. The ID starts with RS-the country code-8-digit number, with no duplication","The type of activity being carried out when remote sensing data is collected, documented, or updated.","Each activity may be related to a specific date. For example, for a complete date: YYYY-MM-DD. Follow the EDTF guidelines on date entry here: https://www.loc.gov/standards/datetime/ 
","The name of the actor involved in carrying out, contributing to, or supporting an activity documented in the Remote Sensing (RS) Resource Model.
","This node records the spatial geometry of the identified site using Well-Known Text (WKT) format.
","Report the nature of the geometry captured (ie centre point, outer boundary, buffer zone, centroid, etc)",The visible physical features on the landscape that were used to identify an area as a potential archaeological or heritage site. It uses a controlled list of terms to specify,"What is the overall geometric shape (such as circular rectangular, oval etc) of the site.","Based on the evidence that is visible on the imagery, wat interpretation can be made of the nature or function of the visible features.","Based on the evidence visible on the imagery, how certain are you of your interpretation of the physical feature.",Has the existence of this site or its interpretation been verified by ground observations or surveys.,"What is the land use or land cover that is present in the area, at the time of recording, in which the site is located.",What is the climatic zone in which the site is located,Can this site be linked to any other known site located within the records of the database,To which chronological period can this site be connected to,"
The measurement type describes what aspect of the site is being measured, such as length, width, height, area, or depth. Recording the measurement type helps clarify the meaning of the recorded value and ensures that quantitative information about the site is documented in a consistent way.
","This node records the unit in which the measurement value is expressed.
The measurement unit specifies the scale used for the recorded dimension, such as metres, centimetres, kilometres, or hectares. Recording the measurement unit ensures that quantitative data is interpretable and comparable across records.
","This node records the numeric value of the measurement for the site or feature.
The measurement value represents the quantitative dimension of the site or feature and must be interpreted in conjunction with the associated measurement type and measurement unit.
",In which segment of the first level MAEASaM grid is the site located,In which segment of the second level MAEASaM grid is the site located,What is the name of the administration area in which the site is located,"This node records the official designation of the administrative unit in which the site is located.
It identifies the formal administrative category assigned to the area by the national administrative system.
",This node records the hierarchical administrative level of the administrative unit in which the site is located.,"Records how the site was surveyed or identified (Systematic or unsystematic methods).
The user must select the survey type from the controlled vocabulary list provided in the database.
","The date on which the survey was undertaken Follow the EDTF guidelines on date entry here: https://www.loc.gov/standards/datetime/ 
",The name of the individual or organisation which undertook the survey,"This node records the type of imagery used to identify, analyse, or document the site during the remote sensing process.",Date on which the image was acquired,"This node records the spatial resolution of the imagery used in the analysis, expressed in metres per pixel.
","Records the current overall physical state of the site.
","This node records the date on which the condition assessment of the site was carried out.
It documents the time at which the overall condition state was observed and evaluated.
 Follow the EDTF guidelines on date entry here: https://www.loc.gov/standards/datetime/ 
",Who was the individual or organisation that undertook the assessment,What is the date on which this images was taken,This node records the main activity or process responsible for disturbing or damaging the site.,"It records how often the disturbance or impact occurs.
The frequency describes whether the disturbance is a single event, repeated activity, or a continuous process affecting the site.
","It records the type of physical effect that the disturbance has on the site.
The effect describes what the disturbance is doing to the archaeological remains, such as removal, damage, or alteration of the site features.
","It records how much of the site area is affected by the disturbance.
The extent describes the spatial coverage of the disturbance across the site, helping to indicate whether the impact is localized or widespread.
","It records how serious the impact of the disturbance is on the site.
Severity reflects the degree of damage or degradation caused by the disturbance, helping to evaluate the level of threat to the site’s preservation.
",additional comments or information,What recommendation can you make to the national authorities as to what they can do to improve the state of the site,Date on which the original or first assessment of the site was undertaken Follow the EDTF guidelines on date entry here: https://www.loc.gov/standards/datetime/,It records the person or organisation responsible for conducting the threat assessment.,What is the date on which this images was taken,"This node records the method or source used to assess the identified threat(s) affecting the site.
","It records the type or category of threat that may affect the site, identified through the interpretation of satellite, aerial, or other remote sensing imagery, and supported where possible by contextual knowledge (e.g., infrastructure plans, environmental exposure, or land-use change).
","records the degree to which the identified threat is affecting the site.
It describes the intensity or seriousness of the threat’s impact.
","It records the estimated likelihood that the identified threat will impact the site, based on the analyst’s interpretation of available evidence.",addetional comments,What recommendation can you make to the national authorities as to what they can do to improve the state of the site,Any additional information that needs to be recorded in relation to this entry,,,,,,This node records the date on which the resource record was created in the database.,This node records the most recent date on which the resource record was modified.,"This node records the name of the individual responsible for creating the resource record.
",This node records the names of the nodes that were modified during an update of the resource record.,,,,,
MAEASaM Scope Note (Fr),Definition (Fr),Definition (Fr),"Un identifiant unique est attribué à chaque ressource enregistrée. Chaque ressource doit posséder exactement un identifiant MAEASaM unique. L’identifiant commence par RS – le code du pays – suivi d’un numéro à 8 chiffres, sans duplication.","Le type d’activité réalisée lors de la collecte, de la documentation ou de la mise à jour des données de télédétection.","Chaque activité peut être associée à une date spécifique. Par exemple, pour une date complète : AAAA-MM-JJ. Veuillez suivre les directives EDTF pour la saisie des dates : https://www.loc.gov/standards/datetime/","Le nom de l’acteur impliqué dans la réalisation, la contribution ou le soutien d’une activité documentée dans le modèle de ressource de télédétection (RS).",Ce nœud enregistre la géométrie spatiale du site identifié en utilisant le format Well-Known Text (WKT).,"Indiquer la nature de la géométrie enregistrée (par exemple : point central, limite externe, zone tampon, centroïde, etc.).",Les caractéristiques physiques visibles dans le paysage qui ont été utilisées pour identifier une zone comme un site archéologique ou patrimonial potentiel. Une liste contrôlée de termes est utilisée pour les spécifier.,"Quelle est la forme géométrique générale du site (par exemple : circulaire, rectangulaire, ovale, etc.).","Sur la base des éléments visibles sur l’imagerie, quelle interprétation peut être faite de la nature ou de la fonction des caractéristiques visibles.","Sur la base des éléments visibles sur l’imagerie, quel est le degré de certitude de votre interprétation de la caractéristique physique.",L’existence de ce site ou son interprétation a-t-elle été vérifiée par des observations ou des relevés de terrain.,"Quel est l’usage du sol ou la couverture du sol présent dans la zone, au moment de l’enregistrement, où se situe le site.",Dans quelle zone climatique se situe le site.,Ce site peut-il être relié à un autre site connu figurant dans les enregistrements de la base de données.,À quelle période chronologique ce site peut-il être associé.,"Ce nœud enregistre le type de mesure documenté pour le site ou la caractéristique. Le type de mesure décrit l’aspect du site mesuré, par exemple la longueur, la largeur, la hauteur, la surface ou la profondeur. L’enregistrement du type de mesure permet de clarifier la signification de la valeur enregistrée et d’assurer une documentation cohérente des informations quantitatives concernant le site.","Ce nœud enregistre l’unité dans laquelle la valeur de la mesure est exprimée. L’unité de mesure précise l’échelle utilisée pour la dimension enregistrée, par exemple mètres, centimètres, kilomètres ou hectares. L’enregistrement de l’unité de mesure garantit que les données quantitatives sont interprétables et comparables entre les enregistrements.",Ce nœud enregistre la valeur numérique de la mesure pour le site ou la caractéristique. La valeur de la mesure représente la dimension quantitative du site ou de la caractéristique et doit être interprétée conjointement avec le type de mesure et l’unité de mesure associés.,Dans quel segment de la grille MAEASaM de premier niveau se situe le site.,Dans quel segment de la grille MAEASaM de deuxième niveau se situe le site.,Quel est le nom de la zone administrative dans laquelle se situe le site.,Ce nœud enregistre la désignation officielle de l’unité administrative dans laquelle se situe le site.,Il identifie la catégorie administrative formelle attribuée à la zone par le système administratif national.,Ce nœud enregistre le niveau administratif hiérarchique de l’unité administrative dans laquelle se situe le site.,La date à laquelle la prospection a été réalisée. Veuillez suivre les directives EDTF pour la saisie des dates : https://www.loc.gov/standards/datetime/,Le nom de la personne ou de l’organisation ayant réalisé la prospection.,"Ce nœud enregistre le type d’imagerie utilisé pour identifier, analyser ou documenter le site lors du processus de télédétection.",Date d’acquisition de l’image.,"Ce nœud enregistre la résolution spatiale de l’imagerie utilisée dans l’analyse, exprimée en mètres par pixel.",Enregistre l’état physique général actuel du site.,Ce nœud enregistre la date à laquelle l’évaluation de l’état du site a été réalisée. Il documente le moment où l’état général a été observé et évalué. Veuillez suivre les directives EDTF pour la saisie des dates : https://www.loc.gov/standards/datetime/,La personne ou l’organisation ayant réalisé l’évaluation.,Date à laquelle cette image a été prise.,Ce nœud enregistre l’activité ou le processus principal responsable de la perturbation ou des dommages causés au site.,"Enregistre la fréquence à laquelle la perturbation ou l’impact se produit. La fréquence indique si la perturbation correspond à un événement unique, une activité répétée ou un processus continu affectant le site.","Enregistre le type d’effet physique que la perturbation exerce sur le site. L’effet décrit ce que la perturbation fait aux vestiges archéologiques, par exemple l’enlèvement, les dommages ou l’altération des caractéristiques du site.",Enregistre la proportion de la surface du site affectée par la perturbation. L’étendue décrit la couverture spatiale de la perturbation sur le site et permet d’indiquer si l’impact est localisé ou étendu.,Enregistre la gravité de l’impact de la perturbation sur le site. La gravité reflète le degré de dommage ou de dégradation causé par la perturbation et aide à évaluer le niveau de menace pour la préservation du site.,Commentaires ou informations supplémentaires.,Quelle recommandation pouvez-vous formuler aux autorités nationales afin d’améliorer l’état du site.,Date à laquelle l’évaluation initiale du site a été réalisée. Veuillez suivre les directives EDTF pour la saisie des dates : https://www.loc.gov/standards/datetime/,Ce nœud enregistre la personne ou l’organisation responsable de l’évaluation de la menace.,Date à laquelle cette image a été prise.,Ce nœud enregistre la méthode ou la source utilisée pour évaluer la ou les menaces identifiées affectant le site.,"Enregistre le type ou la catégorie de menace pouvant affecter le site, identifié par l’interprétation d’images satellitaires, aériennes ou d’autres données de télédétection et soutenu lorsque possible par des connaissances contextuelles (par exemple : plans d’infrastructure, exposition environnementale ou changement d’usage du sol).",Enregistre le degré auquel la menace identifiée affecte le site. Il décrit l’intensité ou la gravité de l’impact de la menace.,"Enregistre la probabilité estimée que la menace identifiée affecte le site, sur la base de l’interprétation des preuves disponibles par l’analyste.",Commentaires supplémentaires.,Quelle recommandation pouvez-vous formuler aux autorités nationales afin d’améliorer l’état du site.,Toute information supplémentaire devant être saisie en relation avec cette entrée.,,,,,,Ce nœud enregistre la date à laquelle l’enregistrement de la ressource a été créé dans la base de données.,Ce nœud enregistre la date la plus récente à laquelle l’enregistrement de la ressource a été modifié.,Ce nœud enregistre le nom de la personne responsable de la création de l’enregistrement de la ressource.,Ce nœud enregistre les noms des nœuds qui ont été modifiés lors d’une mise à jour de l’enregistrement de la ressource.,,,,,
MAEASaM Scope Note (Ar),,,"
يُمنح كل مورد يتم إدخاله مُعرّفاً فريداً. ويجب أن يحمل كل مورد مُعرّف MAEASaM واحداً وفريداً فقط. يبدأ المعرّف بـ RS متبوعاً برمز الدولة ثم رقم مكوّن من ثمانية أرقام، مع ضمان عدم تكراره.",نوع النشاط المنفذ عند جمع بيانات الاستشعار عن بُعد أو توثيقها أو تحديثها.,"يمكن ربط كل نشاط بتاريخ محدد. على سبيل المثال، للتاريخ الكامل: YYYY-MM-DD. يجب اتباع معيار EDTF لإدخال التواريخ.",اسم الشخص أو الجهة المشاركة في تنفيذ أو المساهمة في أو دعم النشاط الموثق ضمن نموذج موارد الاستشعار عن بُعد (RS),تسجل هذه الخانه القيمة الجغرافيه للموقع المحدد باستخدام صيغة  (WKT).,"تحديد طبيعة الهندسة المكانية المسجلة (مثل: نقطة المركز، الحدود الخارجية، المنطقة العازلة، المركز الهندسي، وغيرها).","السمات أو المعالم الفيزيائية الظاهرة على سطح الأرض التي استُخدمت لتحديد المنطقة كموقع أثري أو تراثي محتمل، وذلك باستخدام قائمة مصطلحات مقيدة.","ما هو الشكل الهندسي العام للموقع (مثل: دائري، مستطيل، بيضاوي، إلخ)؟","استناداً إلى الأدلة الظاهرة في الصور، ما هو التفسير الممكن لطبيعة أو وظيفة المعالم المرئية؟",ما مدى الثقة في هذا التفسير استناداً إلى الأدلة الظاهرة في الصور؟,هل تم التحقق من وجود هذا الموقع أو من صحة تفسيره من خلال ملاحظات أو مسوحات ميدانية؟,ما هو استخدام الأرض أو الغطاء الأرضي السائد في المنطقة وقت التوثيق؟,ما هي المنطقة المناخية التي يقع فيها الموقع؟,هل يمكن ربط هذا الموقع بأي موقع آخر معروف ضمن قاعدة البيانات؟,إلى أي فترة زمنية (كرونولوجية) يمكن إسناد هذا الموقع؟,"نوع القياس المسجل للموقع أو العنصر (مثل: الطول، العرض، الارتفاع، المساحة، العمق).","وحدة القياس المستخدمة للقيمة المسجلة (مثل: متر، سنتيمتر، كيلومتر، هكتار).","القيمة الرقمية للقياس المسجل، والتي تُفسر بالاقتران مع نوع القياس ووحدته.",في أي خلية من المستوى الأول لشبكة MAEASaM يقع الموقع؟,في أي خلية من المستوى الثاني لشبكة MAEASaM يقع الموقع؟,ما اسم الوحدة أو المنطقة الإدارية التي يقع فيها الموقع؟,التسمية الرسمية للوحدة الإدارية التي يقع فيها الموقع.,المستوى الإداري للوحدة الإدارية التي يقع ضمنها الموقع,"يسجل الطريقة التي تم بها مسح الموقع أو التعرف عليه (مسح منهجي أو غير منهجي)، مع اختيار النوع من القائمة المقيدة","تاريخ تنفيذ المسح، وفق معيار EDTF.",اسم الشخص أو المؤسسة التي أجرت المسح.,نوع الصور المستخدمة في تحديد الموقع أو تحليله أو توثيقه ضمن عملية الاستشعار عن بُعد.,تاريخ التقاط الصورة.,"الدقة المكانية للصورة، معبراً عنها بالأمتار لكل بكسل.",يسجل الحالة الفيزيائية العامة الحالية للموقع.,"تاريخ إجراء تقييم حالة الموقع، وفق معيار EDTF.",اسم الشخص أو المؤسسة التي أجرت تقييم الحالة.,ما تاريخ التقاط هذه الصورة؟,النشاط أو العملية الرئيسية المسؤولة عن إحداث الاضطراب أو الضرر بالموقع.,"معدل أو تكرار حدوث الاضطراب (حدث منفرد، متكرر، أو مستمر).","نوع التأثير الفيزيائي الذي يسببه الاضطراب (مثل: إزالة، تلف، تعديل، إلخ).","مدى انتشار الاضطراب داخل الموقع، أي نسبة أو مساحة الجزء المتأثر.",شدة تأثير الاضطراب أو حجم الضرر الذي سببه للموقع.,ملاحظات أو معلومات إضافية.,ما التوصية التي يمكن تقديمها للسلطات الوطنية لتحسين حالة الموقع؟,"تاريخ إجراء أول تقييم أو التقييم الأصلي للموقع، وفق معيار EDTF.",الشخص أو المؤسسة المسؤولة عن إجراء تقييم التهديدات.,,المنهجية أو المصدر المستخدم لتقييم التهديدات المؤثرة في الموقع.,"نوع أو فئة التهديد الذي قد يؤثر في الموقع، كما تم تحديده من خلال تفسير صور الأقمار الصناعية أو الصور الجوية أو غيرها من بيانات الاستشعار عن بُعد، مع الاستناد -عند الإمكان- إلى المعلومات السياقية (مثل خطط البنية التحتية أو التعرض للعوامل البيئية أو تغير استخدامات الأراضي).","درجة تأثير التهديد المحدد على الموقع، أي مستوى شدته أو خطورته.","الاحتمالية المقدرة لتأثير التهديد على الموقع، استناداً إلى تفسير المحلل للأدلة المتاحة.",ملاحظات إضافية.,ما التوصية التي يمكن تقديمها للسلطات الوطنية لتحسين حالة الموقع؟.,ملاحظات إضافية.,,,,,,,,,,,,,,
MAEASaM Scope Note (Pt),,,"É atribuído um identificador único a cada recurso registado. Cada recurso deve possuir um único identificador MAEASaM exclusivo. O identificador é composto pelo prefixo RS, seguido do código do país e de um número com oito dígitos, não sendo permitidas duplicações.","Tipo de atividade realizada durante a recolha, documentação ou atualização dos dados de deteção remota.","Cada atividade pode estar associada a uma data específica. Para datas completas, utilizar o formato AAAA-MM-DD, em conformidade com a norma EDTF (Extended Date/Time Format","Nome da pessoa, instituição ou organização responsável pela execução, colaboração ou apoio à atividade documentada no Modelo de Recursos de Deteção Remota (RS).",Este nó regista a geometria espacial do sítio identificado utilizando o formato Well-Known Text (WKT,"Indique a natureza da geometria registada (por exemplo: ponto central, limite exterior, zona tampão (buffer), centróide",Elementos físicos visíveis na paisagem que permitiram identificar a área como um potencial sítio arqueológico ou patrimonial. A descrição deve ser efetuada utilizando a lista controlada de termos disponibilizada.,"Qual é a forma geométrica geral do sítio (por exemplo: circular, retangular, oval, entre outras)?","Com base nas evidências observáveis nas imagens, qual é a interpretação da natureza ou função das estruturas ou elementos visíveis?","Com base nas evidências visíveis nas imagens, qual é o grau de confiança associado à interpretação proposta?",A existência deste sítio ou a sua interpretação foi confirmada através de observações ou levantamentos de campo?,"Qual é o uso do solo ou a cobertura do solo existente na área onde o sítio se localiza, no momento do registo?",Em que zona climática se localiza o sítio?,Este sítio pode ser associado a outro sítio já registado na base de dados?,A que período cronológico pode este sítio ser atribuído?,"Este nó regista o tipo de medição documentada para o sítio ou elemento arqueológico. O tipo de medição descreve o aspeto do sítio que está a ser medido, como o comprimento, a largura, a altura, a área ou a profundidade. O registo do tipo de medição clarifica o significado do valor registado e assegura que a informação quantitativa é documentada de forma consistente","""This node records the unit in which the measurement value is expressed.
The measurement unit specifies the scale used for the recorded dimension, such as metres, centimetres, kilometres, or hectares. Recording the measurement unit ensures that quantitative data is interpretable and comparable across records.
""",Este nó regista o valor numérico da medição do sítio ou elemento arqueológico. O valor da medição representa a dimensão quantitativa do sítio ou elemento e deve ser interpretado em conjunto com o respetivo tipo de medição e unidade de medida.,Em que segmento da grelha MAEASaM de primeiro nível se localiza o sítio?,Em que segmento da grelha MAEASaM de segundo nível se localiza o sítio?,Qual é o nome da unidade administrativa onde o sítio se localiza,Este nó regista a designação oficial da unidade administrativa onde o sítio se localiza. Identifica a categoria administrativa formal atribuída à área pelo sistema administrativo nacional.,Este nó regista o nível hierárquico da unidade administrativa onde o sítio se localiza.,Regista a forma como o sítio foi identificado ou objeto de levantamento (método sistemático ou assistemático). O utilizador deve selecionar o tipo de levantamento a partir do vocabulário controlado disponível na base de dados.,Data em que o levantamento foi realizado. As datas devem ser registadas de acordo com a norma EDTF (Extended Date/Time Format).,"Nome da pessoa, equipa ou instituição responsável pela realização do levantamento.","Este nó regista o tipo de imagem utilizado para identificar, analisar ou documentar o sítio durante o processo de deteção remota.",Data de aquisição da imagem.,"Este nó regista a resolução espacial da imagem utilizada na análise, expressa em metros por pixel.",Regista o estado geral de conservação do sítio no momento da avaliação.,Este nó regista a data em que foi realizada a avaliação do estado de conservação do sítio. Documenta o momento em que o estado geral de conservação foi observado e avaliado. As datas devem seguir a norma EDTF.,"Qual foi a pessoa, equipa ou instituição responsável pela avaliação?",Qual é a data de aquisição desta imagem?,Este nó regista a principal atividade ou processo responsável pela perturbação ou degradação do sítio arqueológico.,"Este nó regista a frequência com que ocorre a perturbação ou o impacto. A frequência descreve se a perturbação corresponde a um evento isolado, a uma atividade recorrente ou a um processo contínuo que afeta o sítio.","Este nó regista o tipo de efeito físico causado pela perturbação no sítio. O efeito descreve a forma como a perturbação afeta os vestígios arqueológicos, por exemplo através da remoção, da destruição, da degradação ou da alteração das suas características.","Este nó regista a extensão da área do sítio afetada pela perturbação. A extensão descreve a distribuição espacial do impacto no sítio, permitindo indicar se este é localizado ou generalizado.","Este nó regista a gravidade do impacto da perturbação no sítio. A gravidade reflete o grau de dano ou degradação causado, contribuindo para a avaliação do nível de ameaça à conservação do sítio.",Comentários ou informações adicionais.,Que recomendações podem ser apresentadas às autoridades nacionais para melhorar o estado de conservação do sítio?,Data em que foi realizada a avaliação inicial do sítio. As datas devem ser registadas de acordo com a norma EDTF (Extended Date/Time Format).,"Este nó regista a pessoa, equipa ou organização responsável pela realização da avaliação das ameaças.",Qual é a data de aquisição desta imagem?,Este nó regista o método ou a fonte utilizada para avaliar as ameaças identificadas que afetam o sítio.,"Este nó regista o tipo ou a categoria de ameaça suscetível de afetar o sítio, identificada através da interpretação de imagens de satélite, fotografias aéreas ou outros dados de deteção remota e, sempre que possível, complementada por informação contextual, como planos de infraestruturas, exposição a fatores ambientais ou alterações no uso do solo.",Este nó regista o grau de impacto da ameaça identificada sobre o sítio. Descreve a intensidade ou a gravidade dos efeitos provocados pela ameaça.,"Este nó regista a probabilidade estimada de a ameaça identificada vir a afetar o sítio, com base na interpretação do analista e nas evidências disponíveis.",Comentários adicionais.,Que recomendações podem ser apresentadas às autoridades nacionais para melhorar o estado de conservação do sítio?,Quaisquer informações adicionais que devam ser registadas relativamente a esta entrada.,,,,,,,,,,,,,,
Example 1,Example 1,Example 1,RS-SEN-00000001,Remote sensing,2026-03-02,Nicolas Sagna,"POINT (24.5353765284484 13.3346151093385 0)
",Centroid,Surface pattern,Irregular,Enclosure,Low,Verified,Grassland,Arid,SITE-ZWE-00001020,Khami,Length,m,10.22,W14.4N13.9,,Koumpentoum,Department,Level 2,Transect sampling,2022-07-27,Nicolas Sagna,Satellite multispectral imagery (generic),2023-11-27,30 m,Good,2025-07-02,Assane Ndiaye,2023-01-27,Agricultural activities,Yearly,Artefact displacement,Small loss,High,,Consult with local communities regarding initiatives that can help them to protect the site.,2022-03-24,Renier van der Merwe,2016-05-26,Google Earth imagery inspection,Climate change,Minor,Probable,,Consult with local communities regarding initiatives that can help them to protect the site.,Nearest farms are 10km away and farm expansion is slow.,CC BY-NC-SA,Public,IFAN,,,27/7/2022,2/7/2025,Assane Ndiaye,Threat type,,,,,
Example 2,Example 2,Example 2,RS-SEN-00000925,Visual inspection,2025-12-12,Assane Ndiaye,"POLYGON ((30.82 21.35 0, 30.83 21.35 0, 30.83 21.36 0, 30.82 21.36 0, 30.82 21.35 0))
",Outline,Positive/Built Feature,Oval,Megalithic site,High,Not verified,Cultivated,Tropical,,Iron Age (Senegal),Area,cm,,,,Koungheul,Province,Level 1,Legacy data check,2022-10-25,,CNES Airbus,2011-08-12,N/A,Partially damaged,2022-10-25,Nicolas Sagna,,Looting,Every 10 years,Collapse,1-10%,Moderate,,Site needs to have a fence surrounding its perimeter,2022-10-25,Assane Ndiaye,2019-08-08,,Agricultural activities,High,Possible,,Site needs to have a fence surrounding its perimeter,Surrounding area undergoing development but regulatory procedures have been enacted to mitigate any damage to the site.,,,,,,,,,,,,,,
,,,RS-NGA-00000001,,,,,,,,,,,,,Site Resource Model,Chronology Model,,,,,,,,,,,Actor Model,,,,,,Actor Model,,,,,,,,,,Actor Model,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoJSON-feature-collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource-Instance-List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concept-list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File-list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
