Arches terminology,Universal terminology,User form,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MAEASaM Scope Note (En),Definition (En),Definition (En),A unique ID given to each resource entered. This is a required field,"This value represents the name of the relevant grid and is based on the centroid of each grid square, with a precion of 3. This is a required field","This value represents the name of the relevant grid and is based on the centroid of each grid square, with a precion of 1. This is a required field",The value is the relevant Standarized Site Enumeration System (SASES) id for the relevant grid square. This is a required field, The geometry of the square is provided in WKT format. This is used for upload and display in Arches for each grid square entry. This is a required field,"A controlled vocabulary node that indicates the current status of the remote sensing survey located within the relevant grid square. Please write the term exactly as recorded in the ""Remote sensing survey progress"" controlled vocabulary.","This value is a controlled vocabulary that indicates the digitisation status of the map associated with the grid square. Please write the term exactly as recorded in the ""Map status"" controlled vocabulary.","The node is a resource-instance-list node and links to the MAEASaM ID of the relevant map/s. Please write the MAEASaM ID of the relevant record from the ""Maps"" resource instance.",This indicates the number of maps that are associated with the relevant grid square,Another resource-instance-list node that links to the MAEASaM ID of all relevant Site resource instances linked to the map associated with the grid square. ,This value indicates the number of sites that are present within the relevant grid square.,A resource-instance-list node that lists the MAEASaM ID of all the identified remote sensing sites located within the relevant square.,Indicates the number of remote sensing sites that have been identified within the relevant grid square. ,The name of the person who recorded the relevant grid square. This is a required field,A general free text node in which any information can be recorded that the recorder feels should be documented. ,"The date on which the grid square was created. This is a required field. Please enter the date using the Extended Date/Time Format (EDTF) standard. See the EDTF specification ""https://www.loc.gov/standards/datetime/""  for guidance.",The name of the individual that uplaoded the grid square instance ot Arches. This is a required field,The date on which the grid square instance was added to Arches. This is a required field,The date of the latest modification that has been made to the relevant grid square instance in Arches. This is a required field
,Input Instructions (En),Input Instructions (En),Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,Please provide the geometry as coordinates in Well-Known Text (WKT) format.,"Please write the term exactly as recorded in the ""Remote sensing survey progress (cv)"" controlled vocabulary.","Please write the term exactly as recorded in the ""Map status (cv)"" controlled vocabulary.","Please write the MAEASaM ID of the relevant record from the ""Maps (rm)"" resource instance.",Please enter the information as free text.,"Please write the MAEASaM ID of the relevant record from the ""Site (rm)"" resource instance.",Please enter the information as free text.,"Please write the MAEASaM ID of the relevant record from the ""Remote sensing (rm)"" resource instance.",Please enter the information as free text.,Please enter the information as free text.,Please enter the information as free text.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.,This field is automatically populated by the system. Leave this field blank.
MAEASaM Scope Note (Fr),Definition (Fr),Definition (Fr),Identifiant unique attribué à chaque ressource saisie.,,,,,,,,,,,,,,,,,,
MAEASaM Scope  Note (Ar),Definition (Ar),Definition (Ar),,,,,,,,,,,,,,,,,,,
MAEASaM Scope  Note (Pt),Definition (Pt),Definition (Pt),,,,,,,,,,,,,,,,,,,
Example 1,Example 1,Example 1,GRID-000016993,E32.625S18.125,E32.6S18.1,JqIs,"POLYGON ((32.5 -18,32.75 -18,32.75 -18.25,32.5 -18.25,32.5 -18))",Completed,Georeferenced,SE-36-10 (MAEASaM ID of resource model),1,SITE-ZWE-00000434,1,"RS-ZWE-00001077,RS-ZWE-00001078,RS-ZWE-00001079 etc.",1361,Renier Hendrik van der Merwe,Remember to avoid special characters as far as possible.,2026-01-27,Renier Hendrik van der Merwe,2026-02-10,2026-02-10
Example 2,Example 2,Example 2,GRID-000017131,E32.375S18.625,E32.3S18.6,JsIr,"POLYGON ((32.25 -18.5,32.5 -18.5,32.5 -18.75,32.25 -18.75,32.25 -18.5))",In Progress,,,,,,"RS-ZWE-00002928,RS-ZWE-00002929,RS-ZWE-00002930 etc.",45,Renier Hendrik van der Merwe,Remember to avoid special characters as far as possible.,2026-01-27,Renier Hendrik van der Merwe,2026-02-10,2026-02-10
,,,,,,,,,,,,,,,,,,,,,
,Data Type Legend,,Country ,Code,,Language,Code (ISO 639-1),,,,,,,,,,,,,,
,String,,Benin,BEN,,English,en,,,,,,,,,,,,,,
,Semantic,,Botswana,BWA,,French,fr,,,,,,,,,,,,,,
,GeoJSON-feature-collection,,Democratic Republic of the Congo,COD,,Arabic,ar,,,,,,,,,,,,,,
,Date,,Ethiopia,ETH,,Portugeuse,pt,,,,,,,,,,,,,,
,Resource-Instance-List,,Ghana,GHA,,,,,,,,,,,,,,,,,
,Number,,Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,
,Concept-list,,Kenya,KEN,,,,,,,,,,,,,,,,,
,Node,,Mali,MLI,,,,,,,,,,,,,,,,,
,URL,,Mozambique,MOZ,,,,,,,,,,,,,,,,,
,Boolean,,Nigeria,NGA,,,,,,,,,,,,,,,,,
,File-list,,Senegal,SEN,,,,,,,,,,,,,,,,,
,,,Sudan,SDN,,,,,,,,,,,,,,,,,
,,,Tanzania,TZA,,,,,,,,,,,,,,,,,
,,,The Gambia,GMB,,,,,,,,,,,,,,,,,
,,,Togo,TGO,,,,,,,,,,,,,,,,,
,,,Zimbabwe,ZWE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,Abbreviation,Meaning,,,,,,,,,,,,,,,,,
,,,cv,Concept-list,,,,,,,,,,,,,,,,,
,,,rm,Resource model,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
