Arches terminology,Universal terminology,User form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Necessity,Necessity,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Strongly recommended,Strongly recommended,Mandatory,Strongly recommended,Strongly recommended,Strongly recommended,Mandatory,Mandatory,Mandatory,Strongly recommend,,,,,,,,,,,,,,
,Cardinality,Cardinality,1,1,1,1..n,1..n,1,1,1,1,1,1,1,1,0..n,0..n,1..n,0..1,0..n,0..n,1,1,1,0..n,,,,,,,,,,,,,,
Dublin Core Equivalent,,,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#identifier,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#relation or https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#coverage ,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#spatial,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/date/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/date/,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#source,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#identifier,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#type,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#relation,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#created,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#modified,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#contributor,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#description,,,,,,,,,,,,,,
Operational Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAEASaM Scope Note (En),Definition (En),Definition (En),A unique MAEASaM identifier (ID) is given to each chronology resource. The ID should be written as follow: CHRN-8 digit numeric values.,The name value is the name of the chronology entry. ,"Name type defines the name as either primary, alternative, local or other and derives from a concept list. ","Chronology Type is a field where the defining characteristic of a period or chronological resource entry is specified in simple terms. More than one chronology type can be selected for a chronology resource entry.  In case the defining characteristic of the time period is not clear in the original source (i.e. not stated or undefined) the type “Non-specified” can be used. However, this is best avoided. MAEASaM has compiled 8 broad chronology types each of which may contain subgroupings; these include 1. Geological Timescale, 2. Archaeological Period, 3.  Architectural style, 4. Local sequence, 5. Material culture, 6.Oral or documented marker, 7. Polity, and 8. Palaeoclimate or palaeoenvironmental reconstruction. The description of each concept may be used as a guide for the general characteristics from which the chronology resource entry has been determined.  Multiple chronology types can be used.","A particular geographical area defined by the cardinal points in terms of East, West, South, Central and North Africa, or part of a state, country, or district or local area. The MAEASaM regional chronology has been broadly developed based on the 6 regions described by the African Union  (source: https://www.oecd.org/swac/maps/48-six-regions-African-Union.pdf .",The node records the spatial geometry of the known distribution of the chronological term as a polygon or multi-polygon. The geometry is recorded in Well Known Text (WKT) format. ,"The node refers to the earliest known occurence of  the period. The date must be reported using the  Extended Date/Time format (EDTF). https://www.loc.gov/standards/datetime/  . Where multiple dates are reported for the same period in the same geographic region, then the earliest date reported should be entered for this node.","The node refers to the latest or most current occurence of the period. The date must be reported using the Extended Date/Time format (EDTF) https://www.loc.gov/standards/datetime/ . Where multiple end dates are reported for the same period in the same geographic region, then the latest date reported should be entered into this node.",The descriptive start date reports on the original date that was converted to the EDTF.,This node uses a concept list to describe the calendrical system that the original start date was reported in before being converted to EDTF.,The descriptive end date reports on the original date that was converted to the EDTF.,This node uses a concept list to describe the calendrical system that the original end date was reported in before being converted to EDTF. ,"The node requires text entry of the definition and/or defining characteristics of the period. When the text has been directly extracted from the source then the author name, date of publication and page number need to be provided at the end of the definition.",,"The node refers to how the definition, geometry and/or start and end dates were modified for entry. Examples include: Modification of definition or description: entry was adapted after GETTY AAT (include URL link). Modification of Geometry (Location): Spatial extent modified from Lane, P. 2013 The Archaeology of Pastoralism and Stock keeping in East Africa; In: Oxford Handbook of African Archaeology, Eds Peter Mitchell and Paul Lane, OUP; Causey; Spatial extent not reported. Modification of Start or End Date: start date calibrated (SHC20) at 2 sigma, 98% probability (enter the range) with original date reported 1980±50 (PTA-1100), charcoal, Pit 3, from the site, Toteng, Botswana. Alternative Dates: list of dates and source. Modifications made by recorder (Metadata entry history): indication of what has been modified in the entry with a date (follow EDTF standard for date in string for consistency).",The node is related to the Information Resource Model containing original source information (i.e. publications) from where the chronology resource is derived. Multiple sources may be used.,"The node refers to the persistent identifier from where the original term has been used. The node only captures this information when an online thesauri (i.e. Getty AAT, ChronOntology) has been used to create the resource.",Relationship type refers to the connections between related chronology resources. This is described using a controlled vocabulary list.,The node refers to a relationship created with another connected Chronology resource. The unique MAEASaM ID for the related resource will be entered into this node.,The date at which the chronological resource is entered into the database. The date should follow the Extended Date/Time Format https://www.loc.gov/standards/datetime/    ,The date at which the chronological resource is modified. The date should follow the Extended Date/Time Format https://www.loc.gov/standards/datetime/     ,Name of the actor who entered the chronology resource for Arches database.,This node records the names of the nodes that were modified during an update of the resource record.,,,,,,,,,,,,,,
MAEASaM Scope Note (Fr),Definition (Fr),Definition (Fr),,,,,"La région est la zone géographique conernée. Elle se caractérise par son point cardinal (ex. Afrique de l'ouest). Elle fait référence aux 6 régions de l'union Africaine délimitées en 2017 par le Secrétariat du Club du Sahel et de l'Afrique de l'Ouest (CSAO/OCDE). (http://www.actualite-ouest-africaine.org/content/fr/les-six-r%C3%A9gions-de-l%E2%80%99union-africaine) ou une partie d'un État, d'un pays ou d'une zone locale.",,La date de début de la chronologie fait référence à la valeur inférieure de la date/période d'existence. Les dates sont reportées au format Extended Date/Time (EDTF).,La date de fin de la chronologie fait référence à la valeur supérieure de la date/période d'existence. Les dates sont rapportées en format Extended Date/Time (EDTF).,,,,,,,,"Les ressources chronologiques sont basées sur des sources publiées, notamment des livres, des chapitres et/ou des articles de journaux. La source des informations chronologiques est liée au modèle de ressources d'information de la base de données. ",,Relation d’anteriorité et de postériorité entre les assemblages et les périodes.,"""Connecté à"" fait référence à l'ID MAEASaM auquel la relation est connectée.",Date à laquelle la ressource chronologique est saisie dans la base de données. Elle est exprimée sous la forme JJ/MM/AAAA.,Date à laquelle la ressource chronologique est modifiée. Elle est exprimée sous la forme JJ/MM/AAAA.,Nom de la personne qui a saisi la ressource chronologique.,,,,,,,,,,,,,,,
MAEASaM Scope  Note (Ar),Definition (Ar),Definition (Ar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAEASaM Scope  Note (Pr),Definition (Pg),Definition (Pg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Example 1,Example 1,Example 1,CHRN-00000001,Akira,Primary,,Eastern Africa,WKT Polygon,EDTF. Example: 122,EDTF Example: 960,300,cal. CE,1500,cal. CE,"Ceramics associated with stone bowls, pestles, axes, cattle- and caprine-based economies, as well as diverse stone artefacts and large settlements dating to 2nd millennium BCE and 10th century CE around the Central Rift south to Eyasi, east to Tsavo (coastal hinterland) and the Serengeti-Mara Plains. ",,adapted after John Bower (1991) with geometry deriving from Grillo et al. 2018.,Generated ID from Information Resource Model,,related to,Input MAEASaM Chronology ID. Example: CHRN_0001_000007,06/03/2022,07/12/2023,Input MAEASaM Actor ID. Example:  ,,,,,,,,,,,,,,,
Example 2,Example 2,Example 2,,Pastoral Neolithic,Primary,,Eastern Africa,WKT Polygon,EDTF Example: -3335,EDTF Example: 828,2000,BP,1500,BP,The period is associated with the later Holocene spread of pastoralism (a way of life centred around the herding and management of livestock) throughout eastern Africa changing its socio-economic and natural landscapes.,,,Generated ID from Information Resource Model,,,Input MAEASaM Chronology ID. Example CHRN_0001_000011,07/03/2022,,MAEASaM Actor ID. Example: ,,,,,,,,,,,,,,,
